Threshold	0.5
wednesday	[0.38744433]
surpassing	[0.31357056]
intake	[0.07481893]
hong_kong	[0.21937681]
hypersonic	[0.15993286]
yards	[0.29319312]
michele	[0.23983868]
battled	[0.53369781]
capt_thomas	[0.24378689]
cutting_social_security	[0.48966474]
remarkable	[0.09070959]
resource_management	[0.06947043]
pete_aguilar	[0.42775022]
shutdown	[0.26080407]
millions_upon_millions	[0.6316407]
be	[0.05214542]
flower	[0.27153452]
racial_segregation	[0.58113571]
versions	[0.39988433]
alaska	[0.02885799]
saved_lives	[0.86258887]
airmen	[0.0912283]
multiyear	[0.12083881]
attacks	[0.08210568]
ninth_district	[0.34409013]
fallen	[0.12596707]
persistently	[0.8650182]
philippines	[0.17995026]
tailpipe	[0.18549071]
indigenous	[0.13823562]
increasingly_aggressive	[0.22046156]
sir	[0.43844307]
backpacks	[0.65238709]
grand_ronde_reservation	[0.28385124]
conference	[0.0889308]
social_issues	[0.31625106]
deputy_commanding_general	[0.14229985]
aware	[0.23859775]
keating	[0.23632908]
uncommon	[0.82810186]
beaver	[0.06804195]
significant_increases	[0.36504357]
columbus	[0.09846496]
physically	[0.3324868]
cars	[0.12581437]
churches	[0.23306008]
embassy	[0.08636642]
ironclad	[0.40668843]
food_bank	[0.03270203]
valiantly	[0.29855323]
legal_basis	[0.36106941]
weeks_ago	[0.67368354]
passenger_rail	[0.23332378]
pace	[0.07160241]
review_board	[0.7752002]
recruiting	[0.12436903]
pablo	[0.30227986]
unique_challenges	[0.21974364]
jeopardizing	[0.05735657]
means	[0.0987459]
slam	[0.75323531]
executive_fiat	[0.61700991]
raised_concerns	[0.17870769]
evangelist	[0.42319409]
soul	[0.15335973]
jacqueline	[0.24137276]
diabetic	[0.55766602]
daily	[0.04345423]
relocate	[0.14941919]
passed_legislation	[0.28294106]
public_access	[0.29541692]
preparation	[0.08166318]
terminals	[0.04096582]
answer_questions	[0.38504912]
baseball	[0.08103016]
discovery	[0.05838729]
patsy	[0.22903907]
taxpayers	[0.10606863]
japanese	[0.05303036]
wealth_of_knowledge	[0.383892]
liquid	[0.10132227]
aleppo	[0.41361321]
music_education	[0.0556224]
dystopian	[0.59535165]
alfie	[0.22459581]
clearer	[0.43921758]
politically_motivated	[0.58815908]
sciences	[0.01296094]
bringing_forward	[0.37725762]
rest_in_peace	[0.45589515]
stressed	[0.25973297]
equal_protection	[0.50188838]
biosimilar	[0.28864663]
million_americans	[0.1719924]
pressing_issue	[0.86650366]
8th	[0.11627993]
harmful_policies	[0.45815986]
bent	[0.68812896]
betrayal	[0.65627155]
innocent_palestinians	[0.39017704]
altruism	[0.22718343]
project	[0.02798935]
south_texas	[0.29556054]
educational	[0.02298139]
removes	[0.14002303]
reentry	[0.36536975]
laboratories	[0.13161496]
section_702	[0.34208394]
doctoral_degree	[0.13660162]
shiite_militias	[0.67398992]
dispatchers	[0.70372104]
staff_sergeant	[0.0923278]
blacks	[0.31257858]
intervening_action_or_debate	[0.55248562]
shiloh	[0.53550834]
undemocratic	[0.89100024]
selflessness	[0.09556975]
previously_served	[0.08412493]
private_sector	[0.05164716]
sovereign_debt	[0.35234239]
luck	[0.08920857]
320	[0.5317003]
pay_taxes	[0.51000193]
stabilization	[0.08298703]
ropes	[0.41263129]
reins_act	[0.53977898]
christmas_tree	[0.66380663]
vouchers	[0.24152023]
escorted	[0.43164878]
argument	[0.31629453]
ev	[0.07334613]
muster	[0.88217887]
barth	[0.04458461]
indirectly	[0.53606927]
goods_and_services	[0.12369136]
packing	[0.46836508]
wireless	[0.0976827]
training_exercises	[0.41372766]
political_science	[0.09573885]
identity	[0.12220809]
tariff	[0.23224497]
avail	[0.84063343]
enhancement_act	[0.14521444]
certain	[0.10209766]
shipping	[0.0262744]
writers	[0.28364644]
biological_men	[0.56059838]
temple_beth	[0.48810924]
grant	[0.04029631]
poor	[0.06228107]
deeply_involved	[0.10375089]
thrives	[0.15900329]
leon	[0.12303681]
shear	[0.12616417]
occupational	[0.11645489]
hilton	[0.52194049]
imagined	[0.62753992]
directors	[0.0521876]
deadly_drug	[0.65864085]
2027	[0.14165805]
statehouse	[0.4146525]
traveled	[0.12304297]
bureau_of_indian_affairs	[0.12313341]
cards	[0.47177859]
coordinators	[0.44017963]
contractor	[0.02918949]
shorten	[0.36494657]
greece	[0.38674276]
dams	[0.12089103]
strain	[0.14968606]
underpaid	[0.48510955]
belt	[0.39123158]
lobbyist	[0.6464657]
leader_jeffries	[0.57744826]
temple_university	[0.30477939]
camilla	[0.09036093]
auto_insurance_discrimination	[0.24549538]
latinas	[0.21934942]
achieving	[0.07951104]
warmer	[0.27961708]
delzell	[0.15066078]
sickey	[0.08460047]
outage	[0.20734857]
essential_programs	[0.72214169]
stolen	[0.10472344]
served_honorably	[0.09644048]
grind	[0.1605667]
polar	[0.69687725]
meetings	[0.2109578]
yard	[0.35907982]
admiral	[0.04910186]
separate_occasions	[0.67941084]
steals	[0.28600652]
speaker_mike_johnson	[0.8663197]
accorded	[0.80627882]
injected	[0.31865077]
committee_on_environment_and_public_works	[0.09283847]
exceptional_leadership	[0.13185148]
tumor	[0.20519836]
janna	[0.23785383]
flour	[0.16963108]
mourn	[0.1891673]
damaged	[0.06789308]
reported	[0.03626718]
honored	[0.07060241]
johnston	[0.47606184]
dreamed	[0.61447261]
arguments	[0.43655431]
lev_tikvah	[0.26508934]
55	[0.1055043]
worshippers	[0.62090896]
arizona	[0.07402576]
eighty	[0.65923695]
unanimous_support	[0.23864027]
54th	[0.15937936]
chargers	[0.31118559]
synagogues	[0.27987321]
russell	[0.15135227]
illusion	[0.65049255]
weatherization	[0.04960482]
aj	[0.41204494]
time	[0.08374471]
cashew	[0.13307057]
slave	[0.09988456]
1957	[0.1814334]
existed	[0.26594816]
congressional_staff	[0.24031146]
only	[0.09454467]
petitioners	[0.66754619]
object	[0.22861286]
supplemental_package	[0.31239363]
real_life	[0.83487265]
lets	[0.28154465]
stalker	[0.25814821]
american_academy_of_pediatrics	[0.42526361]
leader	[0.02740726]
cyberspace	[0.26320534]
reflecting	[0.22359846]
foreign_aid	[0.28336871]
ida	[0.17435538]
mansfield	[0.09156254]
kings_bay	[0.1227576]
decreased	[0.22742766]
fowler	[0.46608815]
historically_black	[0.33200683]
coupled	[0.30263013]
migrant_children	[0.40866522]
jess	[0.54473941]
deeply_flawed	[0.60153453]
prominence	[0.46618353]
col	[0.07699178]
sediment	[0.19406881]
prevention_services	[0.12958886]
satisfied	[0.37436391]
paris	[0.13775885]
closures	[0.10752515]
barrasso	[0.29084362]
decker	[0.34445518]
mia	[0.34305895]
unaccompanied_minors	[0.45030674]
democracies	[0.28613482]
expulsion	[0.35353204]
excel	[0.24559033]
solve	[0.43252749]
richer	[0.47310765]
pregnant_moms	[0.51512854]
donahue	[0.47510458]
riverside_county	[0.14614363]
violent	[0.13636771]
406	[0.14923148]
extraneous	[0.66904317]
bipartisan	[0.07153598]
communicate	[0.12790642]
components	[0.0547337]
competency	[0.20239249]
windmills	[0.48276992]
towards	[0.07046587]
evangelical	[0.30499449]
amenities	[0.19140918]
hobbies	[0.43177909]
safer_place	[0.16545234]
emulate	[0.3663615]
commonsense_resolution	[0.4892796]
armor	[0.22103631]
treacherous	[0.77852417]
background_checks	[0.58621267]
titled	[0.19952581]
advocates	[0.05895869]
sensory	[0.19410441]
access_to_abortion_care	[0.7704721]
field_hockey	[0.56505176]
oil_and_gas_leases	[0.18893472]
provoke	[0.88074882]
meloni	[0.71334353]
nichols	[0.12004323]
brinksmanship	[0.61447096]
scheduled	[0.20793169]
fabrication	[0.30631939]
madeleine	[0.16078652]
hiding	[0.27211318]
phenomenon	[0.60735222]
pandemic	[0.10111494]
disadvantaged_business_enterprise	[0.03745987]
nafta	[0.92380063]
beautifully	[0.9161389]
preparatory	[0.27801423]
operational_control	[0.24257717]
nolan	[0.40547436]
briefings	[0.32933679]
helps	[0.03484433]
emanuel	[0.31936354]
covenant	[0.45453048]
filling	[0.27338445]
resignation	[0.33640158]
present	[0.05807625]
marshall	[0.11450863]
crisis_intervention	[0.22576169]
otto	[0.40174173]
generation	[0.02515932]
mismanaged	[0.57811614]
mass	[0.20219026]
carbajal	[0.09456128]
nfa	[0.73584758]
organizational	[0.07351901]
supermajority	[0.63368147]
racism	[0.25833965]
wisely	[0.44704409]
package_of_bills	[0.64941013]
blows	[0.78993922]
fascinating	[0.81562927]
gorsuch	[0.73344767]
accompany	[0.07350994]
motion_to_adjourn	[0.63528813]
future_administrations	[0.71397057]
united_kingdom	[0.21482474]
architects	[0.34002905]
mentions	[0.33170104]
waterway	[0.16092773]
editor	[0.06865308]
regulatory_state	[0.57693336]
powerfully	[0.51031513]
detention_beds	[0.72993782]
unfilled	[0.66536365]
korean_peninsula	[0.63114538]
zelenko	[0.52379375]
daunting	[0.58470419]
tend	[0.11957777]
lawler	[0.33241931]
big_ten	[0.53882415]
authoritarianism	[0.4103129]
interdicting	[0.68839862]
motivating	[0.66037268]
passing_bills	[0.48928852]
opposition	[0.16495393]
than	[0.09739964]
overwhelming_majority	[0.2250619]
ocala	[0.09372403]
opted	[0.79980229]
harvard	[0.13682943]
arizona_state_university	[0.36341253]
firearm	[0.108343]
occasionally	[0.85596538]
noteworthy	[0.27104835]
speaker	[0.21759079]
ba	[0.16576494]
state_partnership_program	[0.07880325]
fiscal_crisis	[0.7908973]
critical_piece_of_legislation	[0.55458094]
nuance	[0.81752592]
invisible	[0.60567222]
incredibly_hard	[0.52189961]
cumbersome	[0.69666846]
naive	[0.54237709]
appalling	[0.31190345]
letlow	[0.23467759]
kick	[0.28099418]
national_parks	[0.07667983]
unscrupulous	[0.59644336]
modeled	[0.14876668]
cleared	[0.29822653]
make	[0.1078003]
northwestern_university	[0.17708072]
rail_companies	[0.8619999]
ambassador	[0.05980153]
favor	[0.17950365]
byrne	[0.11260456]
sneak	[0.72450295]
fetal	[0.40190712]
shortfall	[0.19484304]
trials	[0.20218199]
bonamici	[0.05725294]
viewpoint	[0.58430297]
realtors	[0.36903129]
fixed	[0.26476016]
lumber	[0.04332652]
airlift	[0.1489668]
price_increases	[0.60079981]
visions	[0.65466206]
tanner	[0.22254196]
ineffective	[0.40831284]
overrun	[0.47681439]
disingenuous	[0.6786441]
borrow_money	[0.38004398]
indicates	[0.12461438]
unsuccessful	[0.57407018]
markups	[0.43510337]
donalds	[0.09690077]
guidance_documents	[0.46725004]
rockville	[0.12774221]
believing	[0.3831404]
ernesto	[0.36502751]
shoe	[0.38999212]
degette	[0.0769805]
rensselaer_county	[0.47408092]
empirical_evidence	[0.5972717]
kap	[0.53785655]
smoking	[0.16428667]
constitutional_oversight	[0.57796767]
harriet	[0.64304804]
covid_emergency	[0.86439375]
batteries	[0.14435276]
precipice	[0.73330825]
vows	[0.8553741]
consulting_firm	[0.37601223]
contained	[0.11216046]
crest	[0.07249222]
joint_employer	[0.53615544]
exhibits	[0.33424957]
travels	[0.29047111]
global_war_on_terror	[0.37264208]
pharmacy_benefit_managers	[0.15677851]
helped_raise	[0.16264381]
hung	[0.88841064]
internships	[0.10552578]
garbage	[0.52552704]
week_after_week	[0.93199495]
power_plants	[0.17208443]
neutrality	[0.56980064]
offsets	[0.43459904]
hundreds	[0.03580007]
hidden	[0.41673047]
paid_family_and_medical_leave	[0.57988548]
probable	[0.42258466]
hits	[0.19486755]
promote_innovation	[0.12410622]
accredited_investor	[0.29060818]
giving	[0.05684653]
geological	[0.0546169]
prince_william_county	[0.11371135]
vp	[0.22227639]
provision	[0.11469377]
kobick	[0.4181744]
commodore	[0.10695595]
arden	[0.2878903]
ammo	[0.08836735]
shuttle	[0.43978972]
syria	[0.19250758]
ancsa	[0.71264]
introducing_today	[0.16185952]
burnett	[0.11967191]
alliance	[0.01501858]
educational_experience	[0.44358553]
obtained	[0.03472537]
semper	[0.12874969]
grips	[0.77416234]
federal_communications_commission	[0.12493732]
blumenthal	[0.24823357]
caregivers	[0.10242358]
caitlin	[0.19960948]
associations	[0.12732764]
enslaved	[0.34803504]
augie	[0.18765393]
held_hostage	[0.51114719]
characterization	[0.43271313]
coordinator	[0.0216483]
aircraft_carrier	[0.43148652]
chiropractic	[0.02723777]
rural_broadband	[0.26550317]
military_intelligence	[0.34608868]
pole	[0.81941061]
use	[0.03370228]
savagery	[0.8485613]
nuclear_fuel	[0.10656494]
nps	[0.15951518]
168	[0.50766724]
national_sales_tax	[0.49731604]
revert	[0.68442277]
organ_transplant	[0.39559506]
market_access	[0.15807775]
office	[0.05130445]
ambient	[0.19794233]
reauthorizes	[0.12169411]
landfill	[0.12571392]
decline	[0.04154987]
rural_economies	[0.15192884]
erie_county	[0.08314007]
entire_process	[0.30099926]
chief_warrant_officer	[0.2229495]
dilday	[0.11937165]
sensors	[0.42701068]
scars	[0.68170426]
joann	[0.31044601]
viability	[0.12605351]
ignorant	[0.79538963]
assumed	[0.07127706]
city_council	[0.26332742]
senatorial	[0.59101071]
grange	[0.26064835]
constituted	[0.3888986]
tipping	[0.58698117]
kate	[0.10435448]
recount	[0.93012345]
180	[0.15429486]
aviator	[0.300213]
stinger	[0.41763975]
cancellations	[0.18967175]
national_mall	[0.33747919]
reserve_officer_training_corps	[0.2876347]
perseverance	[0.10713886]
skills_needed	[0.48236553]
steve_cohen	[0.26585518]
defense_meritorious_service_medal	[0.27348889]
insight_forums	[0.84608785]
eroding	[0.39438205]
slots	[0.19315303]
black_sea	[0.46536577]
north_american	[0.09669318]
maneuver	[0.63835268]
forest	[0.01049803]
college_basketball	[0.4641195]
rois	[0.30465459]
verified	[0.30809401]
snap_program	[0.32346799]
queens	[0.503746]
100	[0.11357988]
lipman	[0.73644027]
clean_energy	[0.05847539]
processes	[0.03559608]
defending	[0.09724264]
historic_inflation	[0.34225823]
a	[0.04918642]
roadblocks	[0.51215309]
personal	[0.09718933]
705	[0.18123]
abandoning	[0.45696599]
registry	[0.11054853]
prohibits	[0.04107079]
prevail	[0.37537317]
mirror	[0.64424808]
swidan	[0.43010113]
wayne_state	[0.38205451]
convening	[0.61010152]
boundaries	[0.18482414]
concentration	[0.13721672]
federal_highway_administration	[0.31273587]
anna_gomez	[0.28567906]
uc_davis	[0.21644757]
amendment_reduces	[0.10609773]
comfort	[0.11469525]
5894	[0.04130666]
sold	[0.04706448]
manifestation	[0.55909195]
greater_houston	[0.25335926]
clearly	[0.1686944]
dragging	[0.71165785]
financial_services_and_general_government_appropriations	[0.09004196]
bahrain	[0.52351509]
potomac	[0.23374504]
david_cicilline	[0.6510142]
selfless_acts	[0.46629126]
improving	[0.02010492]
qualifications	[0.13063617]
renaissance	[0.29272381]
lambert	[0.39460922]
leave	[0.07256001]
rocks	[0.13795468]
consequential	[0.45031678]
international_travel	[0.83666856]
toilet	[0.6907711]
prosecutions	[0.65540415]
spending_billions	[0.48315631]
lobbied	[0.27900296]
cooperated	[0.77662507]
grant_funding	[0.12285431]
bop	[0.56258841]
selby	[0.16433336]
education	[0.00628121]
iraqi	[0.19601964]
deputies	[0.61386135]
refunds	[0.3802791]
existential_crisis	[0.18530697]
descended	[0.57324169]
locally_elected	[0.60552959]
rampage	[0.80191023]
energy_crisis	[0.15968196]
happily	[0.57152825]
critical	[0.02277557]
female_veterans	[0.10421665]
los_angeles	[0.05945512]
dictate	[0.2666497]
nadine	[0.42831515]
excellency	[0.31730143]
large_and_small	[0.37743171]
viciously	[0.76320599]
housing_authority	[0.25613308]
regiment	[0.21960919]
dark_days	[0.63511444]
agreed	[0.19065273]
suspected_terrorists	[0.69213164]
supertruck	[0.32547028]
navigating	[0.19024645]
evansville	[0.23957373]
stfa	[0.41968113]
groundwork	[0.08223627]
eloquent	[0.70803054]
indicated	[0.19310389]
energy_policy	[0.32902166]
show	[0.05161231]
spa	[0.18097518]
intolerable	[0.70717163]
scientific_evidence	[0.34768183]
everyday_life	[0.59634521]
disappointment	[0.43811201]
childcare_slots	[0.35506769]
produced	[0.03417053]
operations_officer	[0.17265853]
communications_act	[0.28093351]
pressing_issues	[0.34219101]
team_won	[0.22071684]
legitimate	[0.28211949]
soft_on_crime	[0.72182505]
ca	[0.21475122]
southeast	[0.02902754]
consideration	[0.02224549]
117	[0.13489021]
alaskan	[0.13967151]
jurisdictions	[0.33274706]
rebel	[0.26938512]
chinese_american	[0.1434692]
firstenergy	[0.58309466]
supporting	[0.0158694]
lenin	[0.87866565]
monitored	[0.21763202]
guy	[0.15542895]
spark	[0.50949091]
finals	[0.5292151]
logged	[0.48530174]
rocio	[0.74687933]
defensive	[0.18238272]
deranged	[0.65393377]
displace	[0.41713491]
defraud	[0.4915902]
exhaustive	[0.8088931]
duly_chosen_and_sworn	[0.65460431]
committee_report	[0.22774148]
plutonium	[0.23388309]
barton	[0.16044686]
qualified	[0.10453669]
but	[0.13256055]
nevertheless	[0.8980002]
biological	[0.04350431]
hoffman	[0.13943214]
chief_master_sergeant	[0.1845741]
second_congressional_district	[0.14190851]
happier	[0.5499958]
fulfillment	[0.23081223]
stems	[0.299996]
adopts	[0.46210004]
redirect	[0.12741266]
enforce	[0.14263324]
sport	[0.04799922]
rural_development	[0.04769452]
ocean_acidification	[0.01728325]
peaks	[0.22516632]
turns	[0.16944651]
neville	[0.20584475]
183	[0.10969392]
chi	[0.13081737]
alvarez	[0.25075728]
instills	[0.42907289]
1908	[0.25140529]
intimidation	[0.22798134]
attacking	[0.15022836]
nice	[0.20647582]
honoring	[0.16307219]
renee	[0.12739903]
asean	[0.31309663]
pretty_clear	[0.80929612]
yet	[0.15768244]
remediation	[0.08225934]
refrigerator	[0.50138533]
dona_ana	[0.10251865]
clinics	[0.22821881]
jet	[0.11250819]
usda	[0.01376722]
spiritual	[0.07015622]
credible_fear	[0.47369146]
behavior	[0.1830659]
magic_words	[0.81723195]
deserved_retirement	[0.33925319]
regime	[0.1114458]
jackson_lee	[0.1785079]
louisiana	[0.04675134]
mclarty	[0.08208838]
young_athletes	[0.20063385]
lest	[0.90692291]
malaria	[0.42033639]
blake	[0.07317501]
riders	[0.22907696]
bethlehem	[0.56971422]
consisted	[0.22333326]
sphere	[0.4109284]
hurtful	[0.75306356]
wonderful	[0.15092964]
skillful	[0.31924587]
depends	[0.07519354]
fearing	[0.59818018]
personal_freedoms	[0.3872563]
huawei	[0.24751553]
from	[0.01542951]
loyola	[0.28772254]
larry	[0.06279468]
passage	[0.06144262]
evident	[0.0852685]
mccormick	[0.13948955]
distinguished	[0.04446344]
successful_career	[0.14806432]
face_challenges	[0.52961528]
ltc	[0.14323208]
sackett	[0.40116297]
flavored	[0.07423173]
meticulous	[0.4490695]
relieved	[0.39254983]
ingredient	[0.39652041]
read	[0.11432202]
2012	[0.07585035]
personal_injury	[0.21124928]
uncomfortable	[0.51747782]
extensions	[0.20094145]
favorable	[0.18319045]
instill	[0.16286439]
enshrined	[0.31303241]
pallone	[0.1096813]
inserted	[0.67693668]
johnny_appleseed	[0.39213202]
cubic	[0.20275102]
annual_deficit	[0.80300028]
crosses	[0.4148798]
thick	[0.42951348]
stillbirth	[0.43891788]
forthwith	[0.13542074]
mandated	[0.19977282]
jury	[0.22665124]
debby	[0.16900138]
emerging_growth_company	[0.53607832]
traffic	[0.24245659]
1976	[0.20570941]
cordell	[0.41807788]
demonize	[0.51443446]
butch	[0.2836897]
bullying	[0.06409696]
taken	[0.16086015]
migrant	[0.25706405]
default_on_america_act	[0.24396028]
organizations	[0.03292516]
uvalde	[0.60445122]
accountants	[0.12165833]
deputy_sheriff	[0.13451494]
hacked	[0.13211431]
economically_disadvantaged	[0.35499978]
dietary_guidelines	[0.23012795]
moneys	[0.40740442]
bad_ideas	[0.6905837]
myocarditis	[0.15793303]
exception	[0.23536746]
commanding	[0.33350092]
swept	[0.32933411]
inequalities	[0.88264421]
dirtier	[0.26131994]
apr	[0.28725279]
instantly	[0.57399152]
117th_congress	[0.25215307]
hettie	[0.53863951]
spain	[0.40657339]
bleak	[0.6560026]
u	[0.19966298]
days	[0.32168473]
cease	[0.24380469]
edd	[0.48119651]
suits	[0.66194861]
safer	[0.06199137]
indonesia	[0.2985224]
nato_parliamentary_assembly	[0.41098079]
mindset	[0.49345071]
advanced	[0.0426152]
save_plan	[0.69072786]
humanitarian_efforts	[0.32388339]
complicated	[0.26239697]
weatherization_assistance	[0.09905671]
tanker	[0.37963547]
ranking_members	[0.30554723]
san_joaquin_county	[0.4419571]
cripple	[0.22792229]
restricting	[0.08110147]
aided	[0.30279508]
advanced_weapons	[0.22431713]
physician	[0.13143831]
statutorily	[0.21769395]
promulgated	[0.51801282]
flat	[0.07394006]
unwavering_dedication	[0.10859855]
school_district	[0.0207493]
controller	[0.28705497]
tenure	[0.10672403]
discussed	[0.2649006]
alternative	[0.05486046]
membership	[0.05370304]
catch	[0.16279605]
minority_group	[0.76359741]
appearance	[0.26528481]
grotesque	[0.50794198]
pitched	[0.68154693]
transportation_infrastructure	[0.2382351]
red	[0.18072592]
intelligent	[0.74393992]
central_asia	[0.40121863]
obesity	[0.0804992]
walter	[0.04977671]
dress	[0.28238333]
those	[0.19879303]
erect	[0.5424386]
canton	[0.22760493]
causing	[0.08634426]
highest_ranking	[0.48367714]
land_conservation	[0.13985837]
quarterback	[0.50821966]
innocent_israelis	[0.88187248]
deflect	[0.57403785]
hourly	[0.45805961]
melinda	[0.10441088]
morally	[0.58980851]
reception	[0.19419666]
exit	[0.37333484]
insured	[0.64389647]
great_concern	[0.56647343]
culturally_competent	[0.33866277]
legal_immigrants	[0.8891217]
character	[0.07274464]
eleanor	[0.36906829]
gun_owner	[0.68019911]
phi	[0.21980799]
truck	[0.07041783]
newman	[0.11308921]
dorsey	[0.23408599]
homebuilders	[0.29555181]
park	[0.03774498]
local_jurisdictions	[0.6630715]
joined	[0.07335644]
directorate	[0.31127714]
san_fernando	[0.18997178]
honorably_served	[0.20988845]
gas	[0.03447401]
frederick_douglass	[0.72695583]
chamber	[0.36092427]
great_lakes_region	[0.10862666]
federal_duck_stamp	[0.62455385]
section_117	[0.15707578]
polite	[0.8319575]
seems	[0.29144232]
immigrant	[0.10558577]
achievements_include	[0.5354777]
populations	[0.07533966]
decide	[0.20747714]
floated	[0.55707877]
headache	[0.81684367]
cheap_political	[0.88125943]
trade	[0.03046494]
devastated	[0.11317636]
very	[0.16924619]
cicilline	[0.47665162]
purport	[0.72645867]
outstanding_achievements	[0.17427218]
commonsense_solution	[0.34616823]
flooded	[0.27190559]
harvard_law_school	[0.47025263]
spared	[0.58859307]
clocks	[0.87911849]
attract	[0.11859489]
attend_college	[0.8767053]
affiliated_area	[0.27437112]
guantanamo_bay	[0.70271483]
rally	[0.31461568]
oligarchs	[0.41409943]
yuri	[0.30622685]
82nd_airborne	[0.35283941]
modeling	[0.15150293]
welcomes	[0.29979392]
salaries	[0.15895218]
justifiable	[0.76835806]
came	[0.14551072]
sydney	[0.30578678]
flood	[0.0242922]
confederated_tribes	[0.34091403]
cutting	[0.04863943]
baby_boomers	[0.47267056]
horses	[0.32697096]
wounded_warrior	[0.42649901]
smog	[0.3290291]
essentially	[0.10663284]
hugh	[0.10080472]
mud	[0.70747755]
denied	[0.13925535]
brighter	[0.53726661]
vibrant_democracy	[0.31223821]
tucson	[0.24879621]
ensuring	[0.03729605]
access	[0.01979444]
loving	[0.09382055]
young_americans	[0.43975684]
greatness	[0.30911061]
topics	[0.14373629]
covenant_school_shooting	[0.81663189]
tribal_members	[0.15975084]
russia_invaded	[0.71610159]
art_museum	[0.52478617]
ann	[0.03326325]
guys	[0.36803087]
judgments	[0.58978243]
halfway	[0.54468361]
rice	[0.0305864]
terminated	[0.49150799]
undergone	[0.51791478]
daca	[0.50693877]
biden_family	[0.08652813]
hid	[0.32251634]
ninety	[0.3880825]
change_lives	[0.46679854]
career_pathways	[0.36331916]
responses	[0.16034441]
russo	[0.47884672]
persistent	[0.0246729]
families	[0.03945581]
commendable	[0.16579337]
band	[0.07054188]
bellotti	[0.65150703]
critical_lifeline	[0.25370034]
oregon	[0.08393812]
critical_energy	[0.03786667]
manifest	[0.68667987]
defense_spending	[0.14457877]
and	[0.00717055]
muddy	[0.25466995]
procedure	[0.42471083]
bucket	[0.34652644]
poles	[0.50478801]
scaled	[0.37658243]
pregnant	[0.20998788]
minimize_civilian	[0.88890868]
advocacy_groups	[0.15058446]
significantly_improved	[0.30311382]
pact_act	[0.48615604]
support_local_gems	[0.40514382]
arduous	[0.56542469]
breed	[0.54689937]
realization	[0.72034024]
civil_rights	[0.05145517]
dublin	[0.23542537]
committing	[0.15320824]
armenian_genocide	[0.63609752]
indelible_impact	[0.26417691]
tragic_loss	[0.10296849]
fourteen	[0.45374724]
infants	[0.27641392]
commemorate	[0.15884172]
peanut	[0.07499286]
service_members	[0.26770976]
reintroduce	[0.13756513]
680	[0.12929182]
110	[0.30975782]
massive_economic	[0.70465844]
leaving	[0.06064959]
issues_facing	[0.16091876]
medications	[0.12506747]
hatch_act	[0.38076506]
theater	[0.08327424]
ethan	[0.25681534]
wounded	[0.16752974]
zones	[0.05591078]
villages	[0.21840819]
movements	[0.22401812]
phrase	[0.36004591]
entrance	[0.4422671]
defying	[0.62947472]
accepting	[0.45169001]
pension	[0.1464857]
hazardous_waste	[0.27367462]
mainly	[0.08755765]
endorsements	[0.18835984]
environmental_health	[0.03242552]
briefs	[0.59738182]
educational_journey	[0.11662407]
posthumously_awarded	[0.20011964]
va_benefits	[0.57158171]
translation	[0.25707607]
seventh	[0.07512699]
tough_decisions	[0.79770341]
hysteria	[0.55712451]
influential	[0.08377597]
remedy	[0.27917103]
dismay	[0.49458139]
wilderness_area	[0.22933499]
federal_judge	[0.20770979]
picking	[0.31485879]
described	[0.07847921]
hunger	[0.06184752]
berry	[0.02795939]
coordinating	[0.02082661]
grinding	[0.46519594]
house_armed_services	[0.16276241]
overcoming	[0.39288005]
838	[0.22442961]
wondered	[0.89146067]
mechanical	[0.05784229]
avery	[0.18945891]
inspected	[0.62844374]
sin	[0.75224712]
aba	[0.20532558]
vha	[0.48213355]
tension	[0.34550689]
noticing	[0.83304923]
planting	[0.03448896]
aderholt	[0.14831657]
sowers	[0.32704444]
issued	[0.06473819]
transformed	[0.14054519]
attended_college	[0.48786791]
portugal	[0.42624127]
suitable	[0.27483388]
senate_foreign_relations_committee	[0.39142479]
tasting	[0.11746674]
towns	[0.07671278]
3rd	[0.14169085]
darkness	[0.63206739]
al	[0.07618477]
ocean	[0.03690335]
duly	[0.63971806]
designs	[0.144046]
executive_order	[0.08225636]
movie	[0.21693555]
janet	[0.16461108]
enabling	[0.04574797]
worldview	[0.82003691]
upwards	[0.09734158]
disgrace	[0.64847801]
populous	[0.52109402]
directly	[0.02926038]
mcgroarty	[0.13508]
grateful	[0.06996111]
cool	[0.34586829]
flew	[0.12041858]
consists	[0.11346296]
m23	[0.55758585]
houck	[0.42158248]
air_force_reserve	[0.28016677]
marianas	[0.16547594]
recovery_efforts	[0.12487405]
constellation	[0.23648502]
roberta	[0.56360317]
patrolman	[0.20029984]
mood	[0.87184711]
girlfriend	[0.78879831]
tots	[0.25628672]
gop	[0.22301837]
kraus	[0.17156271]
hilliard	[0.25967966]
bruce_rollinson	[0.68712723]
gallagher	[0.05308777]
pastor	[0.09513687]
rigged	[0.93338407]
fronts	[0.29286892]
radical_gender	[0.41170341]
tracey	[0.14646117]
devastating_effect	[0.52889908]
unaccountable_bureaucrats	[0.58795127]
goals	[0.05930104]
dylan	[0.39262631]
knowing	[0.21148407]
john_lewis	[0.56964877]
interdiction	[0.16766011]
defaults	[0.26726959]
international_airport	[0.41996619]
jim	[0.05963479]
marched	[0.55806874]
pitts	[0.12963535]
governor	[0.08056258]
pta	[0.02127796]
thermal	[0.08767752]
scientific	[0.01990967]
critical_investments	[0.15767368]
superpower	[0.19704243]
employment	[0.0248387]
